No,店名,販売先住所,販売形態,備考,緯度,経度
1,ハローベジパパ,京都市伏見区深草大亀谷東寺町81，91 ,直売所（無人） ,,34.94857,135.77722
2,大薮農園,京都市伏見区深草西出町5  ,直売所（無人）,,34.95962,135.77394
3,福井　国夫,京都市伏見区深草大亀谷内膳町19 ,直売所（無人） ,,34.94567,135.77277
4,田中　稔 ,京都市伏見区小栗栖小阪町70  ,直売所（無人）,,34.94645,135.80161
5,大長農園,京都市伏見区小栗栖小阪町69,直売所（無人） ,,34.94634,135.80081
6,旬野菜（和泉）いづみ,京都市醍醐地区（主に醍醐，醍醐西，池田，池田東学区），山科地区付近,振売り,,34.951132,135.811074
7,羽束師ファーム,京都市伏見区羽束師菱川町1JA京都中央羽束師支店前,直売所（有人） ,,34.93115,135.71982
8,乾さんちの野菜畑,京都市伏見区羽束師古川町70,直売所（無人） ,,34.92741,135.72337
9,前田　尚吾,京都市伏見区羽束師菱川町9 ,直売所（無人） ,,34.93162,135.71974
10,田村　義数 ,京都市伏見区桃山町三河50（桃山高校グラウンド東側）,直売所（無人）,,34.93597,135.77162
11,山本　一夫,京都市伏見区桃山町新町36 ,直売所（無人） ,,34.93376,135.78696
12,中村光宏野菜直売所,京都市伏見区横大路下三栖宮ノ後9－1,直売所（無人） ,,34.92781,135.74673
13,久我・だん弥,京都市伏見区久我森の宮町8－18,直売所（無人）,,34.93824,135.72865
14,じねんと市場,京都市伏見区竹田青池町125（「伏見力の湯」敷地内）,直売所（有人）,,34.95698,135.7515
15,林　忠司,京都市伏見区醍醐僧尊坊町付近他,振売り,,34.94666,135.81204
16,荒木　稔,京都市左京区一乗寺木ノ本町,振売り,,35.04097,135.79034
17,音川　次清,京都市左京区修学院学区,振売り,,35.04826,135.79387
18,中弥中島農園,京都市左京区修学院沖殿町25,直売所（有人）,,35.05271,135.79295
19,八百民,京都市左京区山端川原町1（叡山電鉄修学院駅前　修学院マート内）,八百屋,,35.0509,135.79027
20,セルフィー下鴨,京都市左京区下鴨貴船町62,八百屋,,35.04255,135.76788
21,しずはら里の市,京都市左京区静市静原町（1544番地付近）,朝市,,35.11873,135.79492
22,里の駅大原,京都市左京区大原野村町1012,直売所（有,,35.114265,135.823503
23,つとむの野菜直売所,京都市西京区下津林南大盤若町82,有人・無人直売所,,34.976033,135.713135
24,高橋　務,京都市西京区下津林北浦町周辺,振売り,,34.97612,135.70979
25,上桂京の旬野菜,京都市西京区上桂前川町197,有人直売所,,34.99346,135.69778
26,清水農園,京都市西京区川島調子町81,有人直売所,,34.97303,135.69829
27,牛ヶ瀬の林,京都市西京区牛ヶ瀬弥生町46,有人・無人直売所／振売り／産直ひろば,,34.972733,135.717784
28,安井農園,京都市西京区大枝西長町1－90（千丈橋南詰）,有人直売所,,34.97114,135.65399
29,千安,京都市西京区大枝西新林町6丁目2－7,有人直売所,,34.96968,135.6665
30,湯浅　健一,京都市西京区松室北河原町151,無人直売所,,34.99612,135.69226
31,内藤　慶一,京都市西京区山田葉室町13－33,無人直売所,,34.98883,135.68832
32,京の里 大原野 村上農園,京都市西京区大原野上里北ノ町916,無人直売所,,34.95372,135.68095
33,井本農園,京都市上賀茂柊野～北山通り,振売り,,35.050893,135.758553
34,大野容且,京都市吉田神社周辺（出町柳～京都大学付近）,振売り,,35.025158,135.783612
35,奥村英継,京都市北区上賀茂北ノ原町45,直売所（自動販売機1）,,35.07318,135.74327
36,奥村英継,京都市北区西賀茂蟹ケ坂町（マンション　シャンドフルールの1F）,直売所（自動販売機2）,,34.969517,135.700952
37,高橋和生,京都市北区千本十二坊，ライトハウス西入るお地蔵さん側,振売り,,35.040249,135.738528
38,橋本農園,京都市北区西賀茂水垣町（神光院近く）,直売所（自動販売機1）,,35.060429,135.743953
39,橋本農園,京都市北区西賀茂蟹ケ坂町（志久呂橋西詰北200m）,直売所（自動販売機2）,,35.07066,135.74091
40,橋本農園,京都市金閣寺・平野神社周辺，太秦界隈,振売り,,35.032417,135.731596
41,水沢農園,京都市北区大宮玄琢北町22,直売所（有人）,,35.05315,135.73709
42,溝川幸彦,京都市元町～北大路，室町　界わい,振売り,,,
43,南直売所,京都市北区御園橋通大宮下る一筋目北西角,直売所（有人）,,35.056631,135.748204
44,森田農園,京都市左京区岩倉西河原町322,直売所（有人）,,35.07233,135.7834
45,おいでやす,京都市北区上賀茂池端町[畔勝町]バス停前,直売所（有人）,,35.055838,135.767002
46,森田農園,京都市北区上賀茂池端町～出町柳,振売り,,35.0561,135.76804
47,大嶌國昭,京都市北区大宮通今宮一筋下る～（大宮通り）～船岡公園付近,振売り,,35.0543,135.73836
48,大宮直売所,京都市北区大宮中林町1－1,直売所（有人・自動販売機）,,35.05543,135.74567
49,大富（だいとみ）,京都市北区紫竹北栗栖町15,直売所（自動販売機）,,35.05177,135.74336
