No.,カードの名前,カード名かな,HP,攻撃力,防御力,特攻,特防,素早さ,技１名称,技１説明,技２区分,技２区分コード,技２名称,技２説明,技２区分効果,特殊スキル区分,特殊スキル区分コード,特殊スキル名称,特殊スキル説明,特殊スキル効果,カード種別,京の伝統野菜,京の伝統野菜に準じる野菜,新京野菜,京のブランド産品,カード用写真／画像提供,来歴,特徴,栽培,旬の始まり,旬の終わり
K001,賀茂なす,かもなす,90,70,30,50,22,8,賀茂なすボール,丸い体で突進する！,特殊攻撃,SA,強光反射,つやつや真ん丸のボティ！,,パッシブ,PS,賀茂の清流,鴨川の上流は賀茂川！,味方一体を選択し、その味方が攻撃される、またはバフ・デバフ効果をかけられたとき、一回だけ無効化する,ゴールド赤,〇,－,－,〇,公益社団法人京のふるさと産品協会,貞享元年（1684）の文献に記載があり、古くは、左京区吉田田中地区で栽培されていました。今から約100年前に北区上賀茂、西賀茂及びその附近特産の大型なす品種として栽培されるようになりました。ですが起源については明らかではありません。,晩生種で幹、枝、葉とも大型で濃紫の葉にとげがあり、果は正円形で直径12から15cmになります。皮は軟らかく、肉質はよく締まり光沢があり、“がく”（へた）は三角形になるとされています。,本来の賀茂なすは北区上賀茂地区を中心に多く栽培されており、「京都市特産そ菜保存ほ」として京都市が種子の保存を上賀茂地区の農家に委託しています。,5月上旬,7月上旬
K002,山科なす,やましななす,80,60,50,30,30,20,なすバット,全力でぶったたく！,特殊攻撃,SA,にしん合体,なすとにしんのタイタン！,,パッシブ,PS,音羽山,山科を見下ろす音羽山！,敵一体のHPを味方の最低HPと同じにする,ゴールド赤,〇,－,－,〇,公益社団法人京のふるさと産品協会,来歴については文献も無く不明ですが、現在の山科区一帯で古くから栽培されていたなすです。左京区吉田で栽培されていた「もぎなす」を大型に改良したものとされています。,幹が太く枝は直立します。樹勢はやや弱く、葉は広くてやや長円で浅い欠刻があります。果形は長円形又は卵型で、濃紫黒色で光沢があります。果皮は薄く、肉質が軟らかいので、日持ちせず、輸送に適さないために栽培が減少しました。,昭和6年には山科地区で35haもの栽培がありましたが、現在は4戸の農家によるわずかな栽培のみです。「京都市特産そ菜保存ほ」として京都市が種子の保存を山科区勧修寺地区の農家に委託しています。,7月上旬,9月下旬
K003,伏見とうがらし,ふしみとうがらし,70,66,38,67,20,9,青龍刀,とうがらしの斬撃！,味方にバフ,MB,甘い囁き,僕も辛くないんだよ！,味方の攻撃力アップ！,アクティブ,AS,美味名水,伏見の名水で酒造り！,味方へのバフ効果が倍になる,ゴールド赤,〇,－,－,〇,公益社団法人京のふるさと産品協会,江戸時代から京都の伏見地区で栽培されてきた甘唐辛子の一種で、京の伝統野菜のひとつとして扱われています。かつては伏見地区で作られていたので、その地区名をとって「伏見とうがらし」と呼ばれるようになりましたが、現在では丹波地区で沢山作られるようになりました。,とうがらしと聞けば七味に使われる鷹の爪のようなものが思い浮かびますが、伏見とうがらしは辛くありません。この系統で代表的なものは天ぷらでおなじみのシシトウで、小型の品種ですが、伏見とうがらしはたいてい10～15cmほどと長く「ヒモトウ」とも呼ばれたり、親しみを込めて「青ト」と短くして呼ばれています。,高温性で育苗時から定植後にかけて低温に遭うと育ちが悪くなるので、十分に暖かくなってから植え付けます。,6月上旬,11月下旬
K004,鹿ケ谷かぼちゃ,ししがたにかぼちゃ,120,40,40,40,25,5,ドッスンかぼちゃ,全体重をかけて押しつぶす！,敵にデバフ,EB,ひょうたん幻惑,ひょうたん型のボディに見とれよ！,敵の素早さダウン！,アクティブ,AS,安楽寺,安楽寺の鹿ケ谷カボチャ供養！,この野菜に攻撃される度、ダメージを受けた後に、攻撃してきた敵の攻撃力・特攻-5,ゴールド赤,〇,－,－,〇,公益社団法人京のふるさと産品協会,文化年間（1804～1817）に、現在の東山区粟田口の農家が奥州の津軽からかぼちゃの種子を持ちかえり、現在の左京区鹿ヶ谷の農家に分けて栽培したところ偏平な菊座形からひょうたん形が生まれました。それを栽培するようになったといわれています。,,夏の暑さには強く、霜が降るまで収穫できます。,8月中旬,9月中旬
K005,京たけのこ,きょうたけのこ,110,45,50,55,4,6,たけのこドリル,尖った先で攻撃する！,味方にバフ,MB,急成長,あっという間に竹になる成長力！,味方の防御力アップ！,アクティブ,AS,妄想竹,孟宗竹の妄想チック！,毎ターン、ランダムに味方一体の攻撃力・特攻+5,ゴールド赤,〇,－,－,〇,公益社団法人京のふるさと産品協会,嵯峨天皇の時代（810～823）に長岡京市の海印寺寂照院の開祖である道雄が、中国から孟宗竹を持ち帰り、関西に広まったという説があります。ですがその当時食料として利用したかどうかは不明で、その後、江戸時代に西山一帯に定着して栽培の対象となったという説が正しいと考えられています。,料理は簡単。揚げたり焼いたりするだけで、酒の肴やおかずとしても立派な一品に。カルシウム、食物繊維、ビタミンＣなどを豊富に含み、夏バテを解消してくれますので暑い季節にうれしい食材です。,枝が細いため風には弱く、果実がたくさん付くと枝折れしやすいので、支柱を立て誘引します。,4月上旬,5月上旬
K006,聖護院だいこん,しょうごいんだいこん,140,100,5,5,18,2,ドッスン大根,巨体を生かした押しつぶし！,敵にデバフ,EB,とろけビーム,とろける食味！,敵の防御力ダウン！,アクティブ,AS,聖護院,聖護院で修験道の修行！,5ターン目以降、味方全体の攻撃力常に+30,ゴールド赤,〇,－,－,〇,公益社団法人京のふるさと産品協会,文政年間（1816～1830）に現在の左京区聖護院に住む農家が、尾張の国から黒谷の金戒光明寺に奉納された大根を譲り受けました。栽培し採種を重ねるうちに短系のものが生まれ、それが土壌の浅い京都の地に合ったので、聖護院一帯に栽培が広がったといわれています。 来歴については別の農家が取り寄せたという説もありますが、いずれにしても尾張の宮重大根という長大根が原種であることは間違いないようです。,短系で地表に表れる部分は淡い緑色を呈します。肉質は軟らかく、煮物に適しています。,本来の品種を栽培している農家は市内でもわずかですが、改良種は広く栽培されています。特に淀地域で栽培されているものは「淀大根」という名前で市場において評価されています。,11月上旬,2月下旬
K007,聖護院かぶ,しょうごいんかぶ,100,66,44,44,13,3,千枚スライサー,千枚漬けのように輪切り！,味方にバフ,MB,かぶら蒸し,ふわふわのかぶら蒸しで癒される！,味方の防御力アップ！,パッシブ,PS,修行僧,聖護院で修験道の修行！,次のターンから2ターンの間、行動不能になる。その後、味方全体の防御力・特防+30,ゴールド赤,〇,－,－,〇,公益社団法人京のふるさと産品協会,享保年間（1716～1736）に現在の左京区聖護院に住む農家が現在の大津市堅田の近江かぶの種子を持ち帰って栽培し、その後改良しました。天保年間（1830～1844）にこのかぶを原料として漬物に加工したものが、京の名産千枚漬けです。,大きいものは5キロにも達する日本最大のかぶで、大かぶとも呼ばれています。葉はやや広く滑らかで下部には欠刻があり、根部は腰高偏円で葉付部にへこみがあります。 早生種は根の上部のくぼみが深く、へん円形で品質も優秀です。晩生種はくぼみも小さく横づち型であるため、千枚漬け用として歩留まりが良いことから多くの需要があります。,本来の品種を栽培している農家はわずかですが、改良種は広く栽培されています。,11月中旬,12月下旬
K008,九条ねぎ,くじょうねぎ,90,70,45,38,7,20,ねぎ居合切り,ねぎ侍のぶった切り！,味方にバフ,MB,アリシン分泌,風邪に効く成分を摂取！,味方の防御力アップ！,パッシブ,PS,葉ねぎの王者,ねぎ族の王者の風格。！,次の1ターンの間、この野菜の攻撃力が1.2倍になる。,ゴールド赤,〇,－,－,〇,公益社団法人京のふるさと産品協会,和銅4年（711）、稲荷神社が建立されたときに現在の伏見区深草の地で浪速（現大阪）由来の原種の栽培が始まったとされており、歴史は非常に古いものです。平安朝前期承和年代（834～848）にはすでに九条で栽培されていたという記録があります。,葉ねぎで、系統は細ねぎ（浅黄種：あさぎだね）と太ねぎ（黒種：くろだね）の二系統あります。前者は葉は細長く、葉色は淡緑色で根から葉の分岐点までが短い系統で、後者は1ｍ前後にまで伸長し、葉色は濃緑で茎が太く、根から葉の分岐点までが長くて耐寒性が強いことが特徴です。,市内産の野菜の中でも栽培面積の多い品目の一つで、市内各地において生産・出荷されています。,10月中旬,3月中旬
K009,堀川ごぼう,ほりかわごぼう,130,45,36,20,20,19,ジャイアントバット,極太ゴボウの一振り！,味方にバフ,MB,食物繊維,食物繊維でお腹も快調！,味方の素早さアップ！,パッシブ,PS,清流堀川,堀川のせせらぎ復活祈願！,味方をHP30で復活,ゴールド赤,〇,－,－,〇,公益社団法人京のふるさと産品協会,豊臣秀吉が築いた聚楽第の堀跡へ埋めたゴミの中に、食べ残しのごぼうが捨てられていたものが越年して大きく育ったことから越年ごぼうの栽培が始められたと言われています。一旦掘り上げてひげ根を取り除き、再度植え込みという独特の栽培法は、約400年の歴史を有することになります。,表皮は暗褐色で首部には亀裂を生じ、かすり状となっています。中心は空洞になって「す入り」した状態ですが、肉質は軟らかく、特有の芳香があります。京都の正月料理には無くてはならない野菜で、お歳暮の贈り物としても珍重されています。独特の形状を活かして空洞にすり身やミンチ等を詰めて調理されることが多いです。,江戸時代には、北野、小山、堀川の産が良いとされていましたが、栽培地は洛北方面に移り、現在では左京区の修学院、一乗寺等で約20戸が栽培されています。「京都市特産そ菜保存ほ」として京都市が種子の保存を一乗寺地区の農家に委託しています。,11月上旬,12月下旬
K010,みず菜,みずな,80,100,20,20,25,25,ウォーターキャノン,みずみずしい一撃！,特殊攻撃,SA,雨乞い,雨に濡れて頭を冷やせ！,,パッシブ,PS,水のいやし,命育むいやしの水！,3ターンの間、ターンが終わるごとに味方一体のHP+20,ゴールド赤,〇,－,－,〇,公益社団法人京のふるさと産品協会,京都で栽培されてきた野菜の中で古い文献に記載されたもののひとつで、和名抄（935頃）に「みずな」の名が始めて記載されています。さらに天和3年（1683）には供物として用いたことが、また貞享3年（1686）に東寺九条周辺で栽培されていた記載があります。,株状によく分けつし（一株で数十本）、葉数は数百枚になります。葉柄は細く淡緑色ですが葉先は濃緑色で欠刻が深く先端はとがっています。最近は食生活の変化に伴って、手軽に食べられる小束のものが多く出回るようになりました。,市内全域で広く栽培されています。,11月上旬,3月上旬
